"County","peninsula","State","CensusId","State.Code","Region","Division","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","Citizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
"Missaukee","LP","Michigan",26113,"MI","Midwest","East North Central",14988,7658,7330,2.5,94.9,0.4,0.6,0.4,0,11361,41098,1493,20530,643,16.8,24.4,23.8,16,22.3,15.4,22.4,78,12.5,0.2,3,1.3,4.9,22.2,6096,79.9,10,9.6,0.5,11
"Monroe","LP","Michigan",26115,"MI","Midwest","East North Central",150436,74065,76371,3.3,91.9,2.3,0.3,0.6,0,114703,55653,1535,26982,590,11.3,16.4,29.3,18.3,21.1,10.7,20.6,86.2,7.4,1.2,1.2,1.1,3,24.4,68024,85.8,9.4,4.7,0.1,8.3
"Montcalm","LP","Michigan",26117,"MI","Midwest","East North Central",63004,32482,30522,3.3,92.1,2,0.4,0.4,0,48001,41584,1204,19955,454,18.2,27.2,25,16.2,23.5,13,22.3,81.2,11.8,0.3,2.1,1.6,3,30.4,24588,82.5,11.6,5.6,0.3,11.2
"Montmorency","LP","Michigan",26119,"MI","Midwest","East North Central",9401,4798,4603,1.2,96.3,0.4,0.6,0,0,7917,36250,1815,20771,945,16.9,22.6,21.4,24.9,23.3,11.1,19.3,82.6,7.7,0,3,0.8,6,27.2,2937,77.3,13.8,8.7,0.2,16
"Muskegon","LP","Michigan",26121,"MI","Midwest","East North Central",171483,85094,86389,5.2,76.9,13.6,0.6,0.5,0,129084,42829,917,21291,428,19.2,27.9,28.3,20.4,22.6,7.3,21.4,85.2,9.2,0.5,1.1,1.1,3,21.4,69673,84.2,11,4.7,0.1,11.9
"Newaygo","LP","Michigan",26123,"MI","Midwest","East North Central",48029,24156,23873,5.7,90.6,1.4,0.6,0.3,0,36237,43693,1342,21230,735,18.2,26.3,25.8,15.6,23.2,13.9,21.5,80.4,11.9,0.2,2,2.1,3.4,29.2,18619,81.7,11.3,6.6,0.3,10.1
"Oakland","LP","Michigan",26125,"MI","Midwest","East North Central",1229503,597097,632406,3.7,73.5,13.8,0.2,6.3,0,896373,67465,680,37728,307,10.1,13.1,47.8,14.4,23.8,4.9,9,85.7,7.5,0.5,1.2,0.9,4.2,26.3,606484,86.1,8.8,5,0.2,7.5
"Oceana","LP","Michigan",26127,"MI","Midwest","East North Central",26229,13277,12952,14.2,82.6,1.2,0.6,0.3,0,18972,41617,1409,20234,735,20.4,31.6,25.5,17.9,18.4,15,23.2,76.3,11.2,0.1,4.2,1.5,6.7,22.5,10360,78.3,13.2,8.2,0.3,8.7
"Ogemaw","LP","Michigan",26129,"MI","Midwest","East North Central",21222,10593,10629,1.8,95.4,0.3,0.8,0.6,0,17069,36063,1500,20972,665,21.8,37.1,24.8,21.8,25.8,12.2,15.5,84.8,8.1,0.2,1.6,1.9,3.4,23,7661,79.3,11.9,8.7,0.1,12.4
"Ontonagon","UP","Michigan",26131,"MI","Midwest","East North Central",6298,3239,3059,1.1,95.8,0.3,0.9,0.5,0,5405,34459,2047,21896,894,15.5,21.5,26.3,21.8,21.3,14.4,16.3,79.3,9.7,0.4,4.7,1.2,4.8,25.4,2048,66.8,23.6,9.1,0.5,13.7
"Osceola","LP","Michigan",26133,"MI","Midwest","East North Central",23234,11728,11506,1.6,95.3,0.8,0.6,0.3,0,17585,38999,1564,19205,543,22,35.4,25,17.8,19.4,11.7,26.2,78.9,10.9,0.4,2.9,2.1,4.7,25.2,8807,79.5,11.7,8.5,0.4,10.3
"Oscoda","LP","Michigan",26135,"MI","Midwest","East North Central",8444,4346,4098,1.3,96,0.4,0.7,0.1,0.1,6775,33021,2322,19520,1140,19.8,30.1,22.3,22.2,24.2,11.2,20.1,77.3,8.4,0.1,2.9,4.4,6.9,19.5,2792,73.2,16,10.2,0.6,13.2
